City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Kawalu,ID,85.53,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
267,Luang Prabang,LA,85.96,broken clouds,19.8856,102.1347,Villa Oasis
268,Emba,KZ,73.81,clear sky,48.8264,58.1442,
270,Biltine,TD,74.01,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
271,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
274,Kaka,TM,94.12,clear sky,37.3482,59.6143,
278,Twentynine Palms,US,96.94,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
279,Pirganj,BD,89.17,scattered clouds,25.8523,88.3618,শেখ ছাত্রী নিবাস
280,Slidell,US,86.0,clear sky,30.2752,-89.7812,Hampton Inn Slidell
281,Kattivakkam,IN,89.69,overcast clouds,13.2167,80.3167,Euronova Freezer
282,Bengkulu,ID,84.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
284,Zhuhai,CN,87.78,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
286,Tabou,CI,75.15,light rain,4.423,-7.3528,hotêl doufoulougou
287,Sawakin,SD,91.96,scattered clouds,19.1059,37.3321,فندق الدويم
288,Gat,IL,77.92,clear sky,31.61,34.7642,OlusHome
289,Teahupoo,PF,78.76,broken clouds,-17.8333,-149.2667,Vanira Lodge
290,Kyaikto,MM,85.64,broken clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
291,Ladario,BR,71.2,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
292,Neka,IR,78.31,clear sky,36.6508,53.299,اپارتمان قومش
293,Hamilton,US,79.41,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
297,Puri,IN,86.52,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
298,Buba,GW,74.48,overcast clouds,11.5833,-15.0,Pousada Bela Vista
299,Alice Springs,AU,71.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
300,Najran,SA,79.45,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
301,Jieshi,CN,85.23,overcast clouds,22.8134,115.8257,Yuehai Hotel
303,Soubre,CI,71.74,light rain,5.7856,-6.6083,Lynd Hotels Soubre
304,Zhanaozen,KZ,93.92,few clouds,43.3,52.8,K.korabay 28A
305,Eyl,SO,77.85,broken clouds,7.9803,49.8164,Amiin Hotel
306,Changji,CN,86.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
307,Taoudenni,ML,96.91,clear sky,22.6783,-3.9836,
311,Inirida,CO,71.89,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
312,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
314,Birjand,IR,77.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
316,Surt,LY,80.06,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
317,Hasaki,JP,86.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
318,Oriximina,BR,76.87,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
319,Yaan,NG,70.43,overcast clouds,7.3833,8.5667,
322,Broome,US,71.98,clear sky,42.2506,-75.833,Chenango Valley State Park
324,Kuala Terengganu,MY,89.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
325,Taybad,IR,87.85,clear sky,34.74,60.7756,لی پوش jean center
327,Yumen,CN,84.85,clear sky,40.2833,97.2,
328,Hecun,CN,86.13,light rain,36.5333,114.1111,Yijia Hotel
